1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
4.4.11,4.4.11,1
5.1.12,5.1.12,1
6.1.13,6.1.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,_,0
8.3.17,8.2.16,1
8.4.18,8.3.17,1
8.5.19,8.4.18,1
8.6.20,8.5.19,1
9.1.21,9.1.20,1
10.1.22,10.1.21,1
10.2.23,10.2.22,1
11.1.24,11.1.23,1
11.2.25,11.2.24,1
12.1.26,12.1.25,1
12.2.27,12.2.26,1
13.1.28,13.1.27,1
14.1.29,14.1.28,1
15.1.30,15.1.29,1
16.1.31,16.1.30,1
17.1.32,17.1.31,1
18.1.33,18.1.32,1
19.1.34,19.1.33,1
19.2.35,19.2.34,1
20.1.36,20.1.35,1
20.2.37,20.2.36,1
21.1.38,21.1.37,1
21.2.39,21.2.38,1
21.3.40,21.3.39,1
21.4.41,21.4.40,1
21.5.42,21.5.41,1
21.6.43,21.6.42,1
21.7.44,21.7.43,1
22.1.45,22.1.44,1
22.2.46,22.2.45,1
22.3.47,22.3.46,1
22.4.48,22.4.47,1
22.5.49,22.5.48,1
22.6.50,22.6.49,1
22.7.51,22.7.50,1
22.8.52,22.8.51,1
22.9.53,22.9.52,1
22.10.54,22.10.53,1
23.1.55,23.1.54,1
24.1.56,24.1.55,1
25.1.57,25.1.56,1
26.1.58,26.1.57,1
27.1.59,27.1.58,1
28.1.60,28.1.59,1
28.2.61,28.2.60,1
28.3.62,28.3.61,1
28.4.63,28.4.62,1
28.5.64,28.5.63,1
29.1.65,29.1.64,1
30.1.66,30.1.65,1
30.2.67,30.2.66,1
30.3.68,30.3.67,1
30.4.69,30.4.68,1
30.5.70,30.5.69,1
30.6.71,30.6.70,1
30.7.72,30.7.71,1
30.8.73,30.8.72,1
30.9.74,30.9.73,1
30.10.75,30.10.74,1
30.11.76,30.11.75,1
30.12.77,30.12.76,1
30.13.78,30.13.77,1
30.14.79,30.14.78,1
30.15.80,30.15.79,1
30.16.81,30.16.80,1
30.17.82,30.17.81,1
30.18.83,30.18.82,1
30.19.84,30.19.83,1
30.20.85,30.20.84,1
31.1.86,31.1.85,1
32.1.87,32.1.86,1
33.1.88,33.1.87,1
34.1.89,34.1.88,1
34.2.90,34.2.89,1
34.3.91,34.3.90,1
35.1.92,35.1.91,1
36.1.93,36.1.92,1
36.2.94,36.2.93,1
36.3.95,36.3.94,1
36.4.96,36.4.95,1
36.5.97,36.5.96,1
37.1.98,37.1.97,1
38.1.99,38.1.98,1
39.1.100,39.1.99,1
40.1.101,40.1.100,1
40.2.102,40.2.101,1
41.1.103,41.1.102,1
41.2.104,41.2.103,1
42.1.105,42.1.104,1
43.1.106,43.1.105,1
44.1.107,44.1.106,1
45.1.108,45.1.107,1
45.2.109,45.2.108,1
46.1.110,46.1.109,1
46.2.111,46.2.110,1
47.1.112,47.1.111,1
48.1.113,48.1.112,1
48.2.114,_,0
48.3.115,48.2.113,1
48.4.116,48.3.114,1
49.1.117,49.1.115,1
50.1.118,50.1.116,1
51.1.119,51.1.117,1
51.2.120,51.2.118,1
52.1.121,52.1.119,1
53.1.122,53.1.120,1
54.1.123,54.1.121,1
55.1.124,55.1.122,1
56.1.125,56.1.123,1
56.2.126,56.2.124,1
57.1.127,57.1.125,1
58.1.128,58.1.126,1
58.2.129,58.2.127,1
59.1.130,59.1.128,1
59.2.131,59.2.129,1
60.1.132,60.1.130,1
