_,24.1.52,0
_,25.1.53,0
_,25.2.54,0
_,25.3.55,0
_,25.4.56,0
_,25.5.57,0
_,26.1.58,0
_,26.2.59,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
6.1.9,6.1.9,1
6.2.10,6.2.10,1
6.3.11,6.3.11,1
6.4.12,6.4.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,7.5.17,1
7.6.18,7.6.18,1
8.1.19,8.1.19,1
8.2.20,8.2.20,1
8.3.21,8.3.21,1
8.4.22,8.4.22,1
9.1.23,9.1.23,1
10.1.24,10.1.24,1
10.2.25,10.2.25,1
11.1.26,11.1.26,1
11.2.27,11.2.27,1
12.1.28,12.1.28,1
12.2.29,12.2.29,1
12.3.30,12.3.30,1
12.4.31,12.4.31,1
12.5.32,12.5.32,1
13.1.33,13.1.33,1
13.2.34,13.2.34,1
13.3.35,13.3.35,1
13.4.36,13.4.36,1
13.5.37,13.5.37,1
14.1.38,14.1.38,1
15.1.39,15.1.39,1
15.2.40,15.2.40,1
16.1.41,16.1.41,1
17.1.42,17.1.42,1
18.1.43,18.1.43,1
19.1.44,19.1.44,1
19.2.45,19.2.45,1
20.1.46,20.1.46,1
20.2.47,20.2.47,1
21.1.48,21.1.48,1
22.1.49,22.1.49,1
23.1.50,23.1.50,1
23.2.51,23.2.51,1
24.1.52,27.1.60,1
24.2.53,27.2.61,1
24.3.54,27.3.62,1
25.1.55,_,0
25.2.56,_,0
26.1.57,28.1.63,1
27.1.58,29.1.64,1
27.2.59,29.2.65,1
28.1.60,30.1.66,1
29.1.61,31.1.67,1
30.1.62,32.1.68,1
30.2.63,32.2.69,1
31.1.64,33.1.70,1
31.2.65,33.2.71,1
32.1.66,34.1.72,1
33.1.67,35.1.73,1
33.2.68,35.2.74,1
33.3.69,35.3.75,1
33.4.70,35.4.76,1
33.5.71,35.5.77,1
34.1.72,36.1.78,1
34.2.73,36.2.79,1
34.3.74,36.3.80,1
34.4.75,36.4.81,1
34.5.76,36.5.82,1
34.6.77,36.6.83,1
35.1.78,37.1.84,1
35.2.79,37.2.85,1
35.3.80,37.3.86,1
35.4.81,37.4.87,1
36.1.82,38.1.88,1
37.1.83,39.1.89,1
37.2.84,39.2.90,1
37.3.85,39.3.91,1
37.4.86,39.4.92,1
37.5.87,39.5.93,1
37.6.88,39.6.94,1
38.1.89,40.1.95,1
38.2.90,40.2.96,1
38.3.91,40.3.97,1
38.4.92,40.4.98,1
38.5.93,40.5.99,1
38.6.94,40.6.100,1
38.7.95,40.7.101,1
38.8.96,40.8.102,1
39.1.97,41.1.103,1
39.2.98,41.2.104,1
39.3.99,41.3.105,1
40.1.100,42.1.106,1
41.1.101,43.1.107,1
42.1.102,44.1.108,1
43.1.103,45.1.109,1
43.2.104,45.2.110,1
44.1.105,46.1.111,1
45.1.106,47.1.112,1
45.2.107,47.2.113,1
45.3.108,47.3.114,1
45.4.109,47.4.115,1
46.1.110,48.1.116,1
47.1.111,49.1.117,1
47.2.112,49.2.118,1
47.3.113,49.3.119,1
47.4.114,49.4.120,1
