_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,1
4.1.4,4.1.8,1
5.1.5,5.1.9,1
6.1.6,6.1.10,1
7.1.7,7.1.11,1
7.2.8,7.2.12,1
7.3.9,7.3.13,1
8.1.10,8.1.14,1
9.1.11,9.1.15,1
9.2.12,9.2.16,1
9.3.13,9.3.17,1
10.1.14,10.1.18,1
11.1.15,11.1.19,1
11.2.16,11.2.20,1
11.3.17,11.3.21,1
11.4.18,11.4.22,1
11.5.19,11.5.23,1
11.6.20,11.6.24,1
12.1.21,12.1.25,1
12.2.22,12.2.26,1
12.3.23,12.3.27,1
12.4.24,12.4.28,1
13.1.25,13.1.29,1
14.1.26,14.1.30,1
15.1.27,15.1.31,1
16.1.28,16.1.32,1
17.1.29,17.1.33,1
18.1.30,18.1.34,1
19.1.31,19.1.35,1
20.1.32,20.1.36,1
21.1.33,21.1.37,1
22.1.34,22.1.38,1
22.2.35,22.2.39,1
23.1.36,23.1.40,1
23.2.37,23.2.41,1
24.1.38,24.1.42,1
24.2.39,24.2.43,1
25.1.40,25.1.44,1
25.2.41,25.2.45,1
25.3.42,25.3.46,1
25.4.43,25.4.47,1
25.5.44,25.5.48,1
26.1.45,26.1.49,1
27.1.46,27.1.50,1
28.1.47,28.1.51,1
28.2.48,28.2.52,1
29.1.49,29.1.53,1
30.1.50,30.1.54,1
31.1.51,31.1.55,1
32.1.52,32.1.56,1
33.1.53,33.1.57,1
33.2.54,33.2.58,1
33.3.55,33.3.59,1
33.4.56,33.4.60,1
33.5.57,33.5.61,1
33.6.58,33.6.62,1
34.1.59,34.1.63,1
35.1.60,35.1.64,1
36.1.61,36.1.65,1
37.1.62,37.1.66,1
37.2.63,37.2.67,1
