_,4.1.4,0
_,5.2.8,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.3.6,0.7279973
5.1.5,5.1.7,0.88065434
5.2.6,4.2.5,1
5.3.7,5.3.9,1
5.4.8,5.4.10,1
5.5.9,5.5.11,1
5.6.10,5.6.12,1
5.7.11,5.7.13,1
6.1.12,6.1.14,1
6.2.13,6.2.15,1
6.3.14,6.3.16,1
6.4.15,6.4.17,1
6.5.16,6.5.18,1
6.6.17,6.6.19,1
6.7.18,6.7.20,1
6.8.19,6.8.21,1
6.9.20,6.9.22,1
7.1.21,7.1.23,1
8.1.22,8.1.24,1
8.2.23,8.2.25,1
8.3.24,8.3.26,1
8.4.25,8.4.27,1
8.5.26,8.5.28,1
8.6.27,8.6.29,1
8.7.28,8.7.30,1
8.8.29,8.8.31,1
8.9.30,8.9.32,1
8.10.31,8.10.33,1
8.11.32,8.11.34,1
8.12.33,8.12.35,1
8.13.34,8.13.36,1
9.1.35,9.1.37,1
10.1.36,10.1.38,1
11.1.37,11.1.39,1
12.1.38,12.1.40,0.76393443
13.1.39,13.1.41,1
14.1.40,14.1.42,1
14.2.41,14.2.43,1
14.3.42,14.3.44,1
14.4.43,14.4.45,1
14.5.44,14.5.46,0.9389744
14.6.45,14.6.47,1
14.7.46,14.7.48,1
14.8.47,14.8.49,1
14.9.48,14.9.50,0.9609057
14.10.49,14.10.51,1
14.11.50,14.11.52,1
14.12.51,14.12.53,1
15.1.52,15.1.54,1
16.1.53,16.1.55,0.9489362
