_,25.2.42,0
_,25.3.43,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
6.2.11,6.2.11,1
6.3.12,6.3.12,1
7.1.13,7.1.13,1
8.1.14,8.1.14,1
9.1.15,9.1.15,1
9.2.16,9.2.16,1
10.1.17,10.1.17,1
11.1.18,11.1.18,1
12.1.19,12.1.19,1
13.1.20,13.1.20,1
14.1.21,14.1.21,1
14.2.22,14.2.22,1
15.1.23,15.1.23,1
15.2.24,15.2.24,1
16.1.25,16.1.25,1
17.1.26,17.1.26,1
18.1.27,18.1.27,1
19.1.28,19.1.28,1
20.1.29,20.1.29,1
20.2.30,20.2.30,1
20.3.31,20.3.31,1
20.4.32,20.4.32,1
20.5.33,20.5.33,1
20.6.34,20.6.34,1
20.7.35,20.7.35,1
21.1.36,21.1.36,1
22.1.37,22.1.37,1
23.1.38,23.1.38,1
24.1.39,24.1.39,1
24.2.40,24.2.40,1
25.1.41,25.1.41,1
26.1.42,26.1.44,1
27.1.43,27.1.45,1
27.2.44,27.2.46,1
27.3.45,27.3.47,1
28.1.46,28.1.48,1
28.2.47,28.2.49,1
29.1.48,29.1.50,1
29.2.49,29.2.51,1
30.1.50,30.1.52,1
31.1.51,31.1.53,1
32.1.52,32.1.54,1
33.1.53,33.1.55,1
34.1.54,34.1.56,1
35.1.55,35.1.57,1
35.2.56,35.2.58,1
36.1.57,36.1.59,1
36.2.58,36.2.60,1
37.1.59,37.1.61,1
38.1.60,38.1.62,1
39.1.61,39.1.63,1
39.2.62,39.2.64,1
40.1.63,40.1.65,1
41.1.64,41.1.66,1
42.1.65,42.1.67,1
43.1.66,43.1.68,1
44.1.67,44.1.69,1
