_,13.2.41,0
_,23.1.65,0
_,26.1.70,0
_,27.1.71,0
_,27.2.72,0
_,27.3.73,0
_,28.1.74,0
_,32.1.85,0
_,33.1.86,0
_,33.3.88,0
1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
7.1.7,7.1.7,0.9151515
7.2.8,7.2.8,1
7.3.9,7.3.9,1
8.1.10,8.1.10,1
8.2.11,8.2.11,1
8.3.12,8.3.12,1
8.4.13,8.4.13,1
8.5.14,8.5.14,1
8.6.15,8.6.15,1
8.7.16,8.7.16,1
8.8.17,8.8.17,1
8.9.18,8.9.18,1
8.10.19,8.10.19,1
9.1.20,9.1.20,1
9.2.21,9.2.21,0.9593253
9.3.22,9.3.22,0.96978515
9.4.23,9.4.23,1
10.1.24,10.1.24,0.7219379
10.2.25,10.2.25,0.9653572
10.3.26,10.3.26,0.9644814
10.4.27,10.4.27,0.974231
11.1.28,11.1.28,1
11.2.29,11.2.29,1
11.3.30,11.3.30,1
11.4.31,11.4.31,1
11.5.32,11.5.32,1
11.6.33,11.6.33,1
11.7.34,11.7.34,1
11.8.35,11.8.35,1
11.9.36,11.9.36,1
12.1.37,12.1.37,1
12.2.38,12.2.38,1
12.3.39,12.3.39,0.94194597
13.1.40,13.1.40,1
13.2.41,_,0
13.3.42,13.3.42,1
14.1.43,14.1.43,1
15.1.44,15.1.44,1
16.1.45,16.1.45,1
17.1.46,17.1.46,1
18.1.47,18.1.47,1
18.2.48,18.2.48,1
18.3.49,18.3.49,1
18.4.50,18.4.50,1
18.5.51,18.5.51,1
18.6.52,18.6.52,1
18.7.53,18.7.53,1
18.8.54,18.8.54,1
18.9.55,18.9.55,1
18.10.56,18.10.56,1
18.11.57,18.11.57,1
19.1.58,19.1.58,1
20.1.59,20.1.59,1
21.1.60,21.1.60,1
21.2.61,21.2.61,1
21.3.62,21.3.62,1
21.4.63,21.4.63,1
22.1.64,22.1.64,0.90180075
23.1.65,23.2.66,1
24.1.66,24.1.67,1
25.1.67,25.1.68,1
25.2.68,25.2.69,1
26.1.69,29.1.75,0.88463974
26.2.70,29.2.76,1
26.3.71,29.3.77,1
26.4.72,29.4.78,0.9269144
27.1.73,30.1.79,1
27.2.74,30.2.80,1
27.3.75,30.3.81,0.9770465
27.4.76,30.4.82,1
27.5.77,30.5.83,0.9066353
28.1.78,31.1.84,1
29.1.79,_,0
30.1.80,_,0
30.2.81,_,0
30.3.82,_,0
30.4.83,33.2.87,1
30.5.84,_,0
