1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
4.2.9,4.2.9,1
4.3.10,4.3.10,1
4.4.11,4.4.11,1
5.1.12,5.1.12,1
6.1.13,6.1.13,1
7.1.14,7.1.14,1
8.1.15,8.1.15,1
8.2.16,8.2.16,0.96136934
8.3.17,8.3.17,0.9731602
8.4.18,8.4.18,0.97148156
8.5.19,8.5.19,1
9.1.20,9.1.20,1
10.1.21,10.1.21,1
10.2.22,10.2.22,1
11.1.23,11.1.23,1
11.2.24,11.2.24,1
12.1.25,12.1.25,1
12.2.26,12.2.26,1
13.1.27,13.1.27,1
14.1.28,14.1.28,1
15.1.29,15.1.29,1
16.1.30,16.1.30,1
17.1.31,17.1.31,0.983364
18.1.32,18.1.32,0.98019505
19.1.33,19.1.33,1
19.2.34,19.2.34,1
20.1.35,20.1.35,1
20.2.36,20.2.36,1
21.1.37,21.1.37,1
21.2.38,21.2.38,1
21.3.39,21.3.39,1
21.4.40,21.4.40,1
21.5.41,21.5.41,1
21.6.42,21.6.42,1
21.7.43,21.7.43,1
22.1.44,22.1.44,1
22.2.45,22.2.45,1
22.3.46,22.3.46,1
22.4.47,22.4.47,1
22.5.48,22.5.48,1
22.6.49,22.6.49,1
22.7.50,22.7.50,1
22.8.51,22.8.51,1
22.9.52,22.9.52,1
22.10.53,22.10.53,1
23.1.54,23.1.54,1
24.1.55,24.1.55,0.9908713
25.1.56,25.1.56,1
26.1.57,26.1.57,1
27.1.58,27.1.58,1
28.1.59,28.1.59,0.99262416
28.2.60,28.2.60,1
28.3.61,28.3.61,1
28.4.62,28.4.62,1
28.5.63,28.5.63,1
29.1.64,29.1.64,1
30.1.65,30.1.65,1
30.2.66,30.2.66,1
30.3.67,30.3.67,0.67294776
30.4.68,30.4.68,1
30.5.69,30.3.67,0.50073946
30.6.70,30.5.69,1
30.7.71,30.6.70,0.6635524
30.8.72,30.7.71,1
30.9.73,30.8.72,1
30.10.74,30.9.73,1
30.11.75,30.10.74,1
30.12.76,30.11.75,1
30.13.77,30.12.76,1
30.14.78,30.13.77,1
30.15.79,30.14.78,1
30.16.80,30.15.79,1
30.17.81,30.16.80,1
30.18.82,30.17.81,1
30.19.83,30.18.82,1
30.20.84,30.19.83,1
31.1.85,31.1.84,0.9958334
32.1.86,32.1.85,1
33.1.87,33.1.86,1
34.1.88,34.1.87,1
34.2.89,34.2.88,1
34.3.90,35.1.89,0.9678525
35.1.91,36.1.90,0.95084167
36.1.92,37.1.91,1
36.2.93,37.2.92,1
36.3.94,37.3.93,0.98569334
36.4.95,37.4.94,1
36.5.96,37.5.95,1
37.1.97,38.1.96,1
38.1.98,39.1.97,0.9770951
39.1.99,40.1.98,0.9809144
40.1.100,41.1.99,1
40.2.101,41.2.100,1
41.1.102,42.1.101,1
41.2.103,42.2.102,1
42.1.104,43.1.103,0.9398035
43.1.105,44.1.104,0.90929526
44.1.106,45.1.105,1
45.1.107,46.1.106,0.849212
45.2.108,46.2.107,1
46.1.109,47.1.108,0.8901354
46.2.110,47.2.109,1
47.1.111,48.1.110,0.9055238
48.1.112,49.1.111,0.9015651
48.2.113,49.2.112,0.93005466
48.3.114,49.3.113,0.9492936
49.1.115,50.1.114,1
50.1.116,51.1.115,0.9433334
51.1.117,52.1.116,1
51.2.118,52.2.117,1
52.1.119,53.1.118,1
53.1.120,54.1.119,1
54.1.121,55.1.120,1
55.1.122,56.1.121,1
56.1.123,57.1.122,1
56.2.124,57.2.123,1
57.1.125,58.1.124,1
58.1.126,59.1.125,0.7978153
58.2.127,_,0
59.1.128,60.1.126,1
59.2.129,60.2.127,1
60.1.130,61.1.128,1
