1.1.1,1.1.1,0.9809524
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
7.1.9,7.1.9,1
7.2.10,7.2.10,1
8.1.11,8.1.11,1
8.2.12,8.2.12,1
8.3.13,8.3.13,1
9.1.14,9.1.14,1
9.2.15,9.2.15,1
9.3.16,9.3.16,1
9.4.17,9.4.17,1
9.5.18,9.5.18,1
9.6.19,9.6.19,1
9.7.20,9.7.20,1
9.8.21,9.8.21,1
9.9.22,9.9.22,1
9.10.23,9.10.23,1
9.11.24,9.11.24,1
9.12.25,9.12.25,1
10.1.26,10.1.26,1
11.1.27,11.1.27,1
11.2.28,11.2.28,1
11.3.29,11.3.29,1
12.1.30,12.1.30,1
13.1.31,13.1.31,1
14.1.32,14.1.32,1
14.2.33,14.2.33,1
14.3.34,14.3.34,1
14.4.35,14.4.35,1
14.5.36,14.5.36,1
15.1.37,15.1.37,1
16.1.38,16.1.38,1
17.1.39,17.1.39,1
17.2.40,17.2.40,1
18.1.41,18.1.41,1
19.1.42,19.1.42,1
19.2.43,19.2.43,1
19.3.44,19.3.44,1
19.4.45,19.4.45,1
19.5.46,19.5.46,1
19.6.47,19.6.47,1
19.7.48,19.7.48,1
20.1.49,20.1.49,1
21.1.50,21.1.50,1
21.2.51,21.2.51,1
21.3.52,21.3.52,1
21.4.53,21.4.53,1
21.5.54,21.5.54,1
21.6.55,21.6.55,1
21.7.56,21.7.56,1
22.1.57,22.1.57,1
23.1.58,23.1.58,1
24.1.59,24.1.59,1
24.2.60,24.2.60,1
24.3.61,24.3.61,1
24.4.62,24.4.62,1
24.5.63,24.5.63,1
25.1.64,25.1.64,1
26.1.65,26.1.65,1
27.1.66,27.1.66,1
27.2.67,27.2.67,1
27.3.68,27.3.68,1
27.4.69,27.4.69,1
27.5.70,27.5.70,1
27.6.71,27.6.71,1
27.7.72,27.7.72,1
28.1.73,28.1.73,1
29.1.74,29.1.74,1
29.2.75,29.2.75,1
29.3.76,29.3.76,1
30.1.77,30.1.77,1
31.1.78,31.1.78,1
31.2.79,31.2.79,1
31.3.80,31.3.80,1
31.4.81,31.4.81,1
31.5.82,31.5.82,1
31.6.83,31.6.83,1
31.7.84,31.7.84,1
31.8.85,31.8.85,1
31.9.86,31.9.86,1
32.1.87,32.1.87,1
33.1.88,33.1.88,1
33.2.89,33.2.89,1
33.3.90,33.3.90,1
34.1.91,34.1.91,1
34.2.92,34.2.92,1
34.3.93,34.3.93,1
34.4.94,34.4.94,1
34.5.95,34.5.95,1
34.6.96,34.6.96,1
34.7.97,34.7.97,1
34.8.98,34.8.98,1
34.9.99,34.9.99,1
34.10.100,34.10.100,1
34.11.101,34.11.101,1
34.12.102,34.12.102,1
34.13.103,34.13.103,1
34.14.104,34.14.104,1
34.15.105,34.15.105,1
34.16.106,34.16.106,1
35.1.107,35.1.107,1
36.1.108,36.1.108,1
37.1.109,37.1.109,1
37.2.110,37.2.110,1
38.1.111,38.1.111,1
38.2.112,38.2.112,1
38.3.113,38.3.113,1
38.4.114,38.4.114,1
38.5.115,38.5.115,1
38.6.116,38.6.116,1
38.7.117,38.7.117,1
38.8.118,38.8.118,1
39.1.119,39.1.119,1
