_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,1
6.1.10,6.1.6,1
6.2.11,6.2.7,1
7.1.12,7.1.8,1
8.1.13,8.1.9,1
9.1.14,9.1.10,1
10.1.15,10.1.11,1
11.1.16,11.1.12,1
12.1.17,12.1.13,1
13.1.18,13.1.14,1
14.1.19,14.1.15,1
15.1.20,15.1.16,1
15.2.21,15.2.17,1
15.3.22,15.3.18,1
15.4.23,15.4.19,1
15.5.24,15.5.20,1
16.1.25,16.1.21,1
17.1.26,17.1.22,1
18.1.27,18.1.23,1
19.1.28,19.1.24,1
20.1.29,20.1.25,1
20.2.30,20.2.26,1
21.1.31,21.1.27,1
21.2.32,21.2.28,1
22.1.33,22.1.29,1
23.1.34,23.1.30,1
24.1.35,24.1.31,1
25.1.36,25.1.32,1
25.2.37,25.2.33,1
25.3.38,25.3.34,1
25.4.39,25.4.35,1
25.5.40,25.5.36,1
25.6.41,25.6.37,1
25.7.42,25.7.38,1
25.8.43,25.8.39,1
25.9.44,25.9.40,1
25.10.45,25.10.41,1
25.11.46,25.11.42,1
25.12.47,25.12.43,1
25.13.48,25.13.44,1
25.14.49,25.14.45,1
25.15.50,25.15.46,1
25.16.51,25.16.47,1
25.17.52,25.17.48,1
25.18.53,25.18.49,1
25.19.54,25.19.50,1
25.20.55,25.20.51,1
25.21.56,25.21.52,1
25.22.57,25.22.53,1
26.1.58,26.1.54,1
27.1.59,27.1.55,1
27.2.60,27.2.56,1
28.1.61,28.1.57,1
29.1.62,29.1.58,1
29.2.63,29.2.59,1
29.3.64,29.3.60,1
30.1.65,30.1.61,1
31.1.66,31.1.62,0.90748894
32.1.67,32.1.63,1
33.1.68,33.1.64,1
33.2.69,33.2.65,1
33.3.70,33.3.66,1
33.4.71,33.4.67,1
33.5.72,33.5.68,1
33.6.73,33.6.69,1
33.7.74,33.7.70,1
33.8.75,33.8.71,1
33.9.76,33.9.72,1
33.10.77,33.10.73,1
33.11.78,33.11.74,1
33.12.79,33.12.75,1
33.13.80,33.13.76,1
33.14.81,33.14.77,1
33.15.82,33.15.78,1
33.16.83,33.16.79,1
33.17.84,33.17.80,1
33.18.85,33.18.81,1
33.19.86,33.19.82,1
34.1.87,34.1.83,1
35.1.88,35.1.84,1
35.2.89,35.2.85,1
35.3.90,35.3.86,1
36.1.91,36.1.87,1
37.1.92,37.1.88,1
38.1.93,38.1.89,1
38.2.94,38.2.90,1
38.3.95,38.3.91,1
