1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
6.1.7,6.1.7,1
6.2.8,6.2.8,1
7.1.9,7.1.9,1
8.1.10,8.1.10,1
8.2.11,8.2.11,1
9.1.12,9.1.12,0.8666667
10.1.13,10.1.13,1
11.1.14,11.1.14,1
12.1.15,12.1.15,1
12.2.16,12.2.16,1
12.3.17,12.3.17,1
12.4.18,12.4.18,1
12.5.19,12.5.19,1
13.1.20,13.1.20,1
13.2.21,13.2.21,1
14.1.22,14.1.22,1
14.2.23,14.2.23,1
15.1.24,15.1.24,1
15.2.25,15.2.25,1
16.1.26,16.1.26,1
16.2.27,16.2.27,1
17.1.28,17.1.28,1
18.1.29,18.1.29,1
19.1.30,19.1.30,1
19.2.31,19.2.31,1
19.3.32,19.3.32,1
19.4.33,19.4.33,1
19.5.34,19.5.34,1
20.1.35,20.1.35,1
20.2.36,20.2.36,1
20.3.37,20.3.37,1
21.1.38,21.1.38,1
21.2.39,21.2.39,1
21.3.40,21.3.40,1
22.1.41,22.1.41,1
23.1.42,23.1.42,1
23.2.43,23.2.43,1
23.3.44,23.3.44,1
23.4.45,23.4.45,1
23.5.46,23.5.46,1
23.6.47,23.6.47,1
23.7.48,23.7.48,1
24.1.49,24.1.49,1
25.1.50,25.1.50,1
25.2.51,25.2.51,1
25.3.52,25.3.52,1
26.1.53,26.1.53,1
26.2.54,26.2.54,1
26.3.55,26.3.55,1
