_,20.3.47,0
_,20.10.54,0
_,21.3.57,0
_,21.10.64,0
1.1.1,1.1.1,1
1.2.2,1.2.2,1
1.3.3,1.3.3,1
1.4.4,1.4.4,1
1.5.5,1.5.5,1
2.1.6,2.1.6,1
3.1.7,3.1.7,1
4.1.8,4.1.8,1
5.1.9,5.1.9,1
6.1.10,6.1.10,1
7.1.11,7.1.11,1
8.1.12,8.1.12,1
9.1.13,9.1.13,1
9.2.14,9.2.14,1
9.3.15,9.3.15,1
9.4.16,9.4.16,1
9.5.17,9.5.17,1
9.6.18,9.6.18,1
9.7.19,9.7.19,1
9.8.20,9.8.20,1
10.1.21,10.1.21,1
11.1.22,11.1.22,1
11.2.23,11.2.23,1
11.3.24,11.3.24,1
12.1.25,12.1.25,1
12.2.26,12.2.26,1
13.1.27,13.1.27,1
13.2.28,13.2.28,1
13.3.29,13.3.29,1
14.1.30,14.1.30,1
14.2.31,14.2.31,1
15.1.32,15.1.32,1
15.2.33,15.2.33,1
15.3.34,15.3.34,1
15.4.35,15.4.35,1
15.5.36,15.5.36,1
16.1.37,16.1.37,1
17.1.38,17.1.38,1
18.1.39,18.1.39,1
18.2.40,18.2.40,1
18.3.41,18.3.41,1
19.1.42,19.1.42,1
19.2.43,19.2.43,1
19.3.44,19.3.44,1
20.1.45,20.1.45,1
20.2.46,20.2.46,1
20.3.47,20.4.48,1
20.4.48,20.5.49,1
20.5.49,20.6.50,1
20.6.50,20.7.51,1
20.7.51,20.8.52,1
20.8.52,20.9.53,1
21.1.53,21.1.55,1
21.2.54,21.2.56,1
21.3.55,21.4.58,1
21.4.56,21.5.59,1
21.5.57,21.6.60,1
21.6.58,21.7.61,1
21.7.59,21.8.62,1
21.8.60,21.9.63,1
22.1.61,22.1.65,1
23.1.62,23.1.66,1
24.1.63,24.1.67,1
25.1.64,25.1.68,1
25.2.65,25.2.69,1
25.3.66,25.3.70,1
25.4.67,25.4.71,1
26.1.68,26.1.72,1
27.1.69,27.1.73,1
27.2.70,27.2.74,1
27.3.71,27.3.75,1
27.4.72,27.4.76,1
27.5.73,27.5.77,1
27.6.74,27.6.78,1
28.1.75,28.1.79,1
29.1.76,29.1.80,1
29.2.77,29.2.81,1
29.3.78,29.3.82,1
29.4.79,29.4.83,1
29.5.80,29.5.84,1
29.6.81,29.6.85,1
29.7.82,29.7.86,1
29.8.83,29.8.87,1
29.9.84,29.9.88,1
29.10.85,29.10.89,1
30.1.86,30.1.90,1
31.1.87,31.1.91,1
31.2.88,31.2.92,1
32.1.89,32.1.93,1
33.1.90,33.1.94,1
34.1.91,34.1.95,1
35.1.92,35.1.96,1
35.2.93,35.2.97,1
36.1.94,36.1.98,1
36.2.95,36.2.99,1
37.1.96,37.1.100,1
38.1.97,38.1.101,1
38.2.98,38.2.102,1
38.3.99,38.3.103,1
39.1.100,39.1.104,1
39.2.101,39.2.105,1
39.3.102,39.3.106,1
39.4.103,39.4.107,1
40.1.104,40.1.108,1
41.1.105,41.1.109,1
42.1.106,42.1.110,1
42.2.107,42.2.111,1
42.3.108,42.3.112,1
43.1.109,43.1.113,1
44.1.110,44.1.114,1
45.1.111,45.1.115,1
46.1.112,46.1.116,1
47.1.113,47.1.117,1
48.1.114,48.1.118,1
49.1.115,49.1.119,1
49.2.116,49.2.120,1
49.3.117,49.3.121,1
49.4.118,49.4.122,1
49.5.119,49.5.123,1
49.6.120,49.6.124,1
49.7.121,49.7.125,1
49.8.122,49.8.126,1
49.9.123,49.9.127,1
49.10.124,49.10.128,1
50.1.125,50.1.129,1
51.1.126,51.1.130,1
51.2.127,51.2.131,1
51.3.128,51.3.132,1
52.1.129,52.1.133,1
52.2.130,52.2.134,1
52.3.131,52.3.135,1
52.4.132,52.4.136,1
