_,1.1.1,0
_,1.2.2,0
_,1.3.3,0
_,1.4.4,0
_,1.5.5,0
1.1.1,_,0
2.1.2,2.1.6,1
3.1.3,3.1.7,1
4.1.4,4.1.8,1
5.1.5,5.1.9,1
6.1.6,6.1.10,0.98647416
7.1.7,7.1.11,1
8.1.8,8.1.12,0.98383343
8.2.9,8.2.13,1
8.3.10,8.3.14,1
9.1.11,9.1.15,1
10.1.12,10.1.16,0.9810329
11.1.13,11.1.17,1
11.2.14,11.2.18,1
12.1.15,12.1.19,1
12.2.16,12.2.20,1
12.3.17,12.3.21,1
12.4.18,12.4.22,1
12.5.19,12.5.23,1
13.1.20,13.1.24,1
14.1.21,14.1.25,1
15.1.22,15.1.26,1
15.2.23,15.2.27,1
16.1.24,16.1.28,1
17.1.25,17.1.29,1
18.1.26,18.1.30,1
18.2.27,18.2.31,1
18.3.28,18.3.32,1
19.1.29,19.1.33,1
20.1.30,20.1.34,0.99852216
21.1.31,21.1.35,1
21.2.32,21.2.36,1
21.3.33,21.3.37,1
21.4.34,21.4.38,1
21.5.35,21.5.39,1
22.1.36,22.1.40,1
22.2.37,22.2.41,1
23.1.38,23.1.42,1
23.2.39,23.2.43,1
24.1.40,24.1.44,1
24.2.41,24.2.45,1
24.3.42,24.3.46,1
24.4.43,24.4.47,1
25.1.44,25.1.48,1
25.2.45,25.2.49,1
26.1.46,26.1.50,1
27.1.47,27.1.51,1
28.1.48,28.1.52,1
28.2.49,28.2.53,1
28.3.50,28.3.54,1
28.4.51,28.4.55,1
29.1.52,29.1.56,1
30.1.53,30.1.57,1
30.2.54,30.2.58,1
30.3.55,30.3.59,1
30.4.56,30.4.60,1
31.1.57,31.1.61,1
32.1.58,32.1.62,1
32.2.59,32.2.63,1
32.3.60,32.3.64,1
32.4.61,32.4.65,1
33.1.62,33.1.66,1
34.1.63,34.1.67,1
35.1.64,35.1.68,1
36.1.65,36.1.69,1
37.1.66,37.1.70,1
37.2.67,37.2.71,1
37.3.68,37.3.72,1
38.1.69,38.1.73,1
39.1.70,39.1.74,1
39.2.71,39.2.75,1
40.1.72,40.1.76,1
41.1.73,41.1.77,1
42.1.74,42.1.78,1
42.2.75,42.2.79,1
43.1.76,43.1.80,1
44.1.77,44.1.81,1
45.1.78,45.1.82,1
45.2.79,45.2.83,1
46.1.80,46.1.84,1
47.1.81,47.1.85,1
47.2.82,47.2.86,1
48.1.83,48.1.87,1
49.1.84,49.1.88,1
50.1.85,50.1.89,1
50.2.86,50.2.90,1
51.1.87,51.1.91,1
52.1.88,52.1.92,1
52.2.89,52.2.93,1
53.1.90,53.1.94,1
54.1.91,54.1.95,1
55.1.92,55.1.96,1
56.1.93,56.1.97,1
57.1.94,57.1.98,1
58.1.95,58.1.99,1
59.1.96,59.1.100,1
59.2.97,59.2.101,1
60.1.98,60.1.102,1
60.2.99,60.2.103,1
60.3.100,60.3.104,1
60.4.101,60.4.105,1
60.5.102,60.5.106,1
61.1.103,61.1.107,1
62.1.104,62.1.108,1
63.1.105,63.1.109,1
63.2.106,63.2.110,1
63.3.107,63.3.111,1
64.1.108,64.1.112,1
