_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,1
6.1.10,6.1.6,1
6.2.11,6.2.7,1
6.3.12,6.3.8,1
6.4.13,6.4.9,1
6.5.14,6.5.10,1
6.6.15,6.6.11,1
7.1.16,7.1.12,1
7.2.17,7.2.13,1
7.3.18,7.3.14,1
8.1.19,8.1.15,1
9.1.20,9.1.16,1
10.1.21,10.1.17,1
10.2.22,10.2.18,1
10.3.23,10.3.19,1
11.1.24,11.1.20,1
11.2.25,11.2.21,1
11.3.26,11.3.22,1
11.4.27,11.4.23,1
11.5.28,11.5.24,1
12.1.29,12.1.25,1
12.2.30,12.2.26,1
12.3.31,12.3.27,1
12.4.32,12.4.28,1
12.5.33,12.5.29,1
12.6.34,12.6.30,1
12.7.35,12.7.31,1
13.1.36,13.1.32,1
14.1.37,14.1.33,1
15.1.38,15.1.34,1
15.2.39,15.2.35,1
15.3.40,15.3.36,1
15.4.41,15.4.37,1
15.5.42,15.5.38,1
15.6.43,15.6.39,1
15.7.44,15.7.40,1
15.8.45,15.8.41,1
15.9.46,15.9.42,1
15.10.47,15.10.43,1
15.11.48,15.11.44,1
15.12.49,15.12.45,1
16.1.50,16.1.46,1
16.2.51,16.2.47,1
17.1.52,17.1.48,1
17.2.53,17.2.49,1
18.1.54,18.1.50,1
