_,9.11.20,0
_,12.1.31,0
_,13.1.32,0
_,14.1.33,0
1.1.1,1.1.1,0.98153853
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,0.98293054
7.1.7,7.1.7,1
7.2.8,7.2.8,0.90193695
8.1.9,8.1.9,0.9840723
9.1.10,9.1.10,1
9.2.11,9.2.11,1
9.3.12,9.3.12,1
9.4.13,9.4.13,1
9.5.14,9.5.14,1
9.6.15,9.6.15,1
9.7.16,9.7.16,1
9.8.17,9.8.17,1
9.9.18,9.9.18,1
9.10.19,_,0
9.11.20,_,0
9.12.21,9.10.19,0.65578914
10.1.22,10.1.21,0.6003962
11.1.23,11.1.22,1
11.2.24,11.2.23,1
11.3.25,11.3.24,1
11.4.26,11.4.25,1
11.5.27,11.5.26,1
11.6.28,11.6.27,1
11.7.29,11.7.28,1
11.8.30,11.8.29,1
11.9.31,11.9.30,0.6584848
12.1.32,15.1.34,1
13.1.33,16.1.35,0.770674
14.1.34,_,0
14.2.35,_,0
14.3.36,17.1.36,1
15.1.37,18.1.37,1
16.1.38,19.1.38,1
16.2.39,19.2.39,0.8277145
17.1.40,20.1.40,1
18.1.41,21.1.41,1
19.1.42,22.1.42,1
19.2.43,22.2.43,1
20.1.44,23.1.44,0.99753094
21.1.45,24.1.45,1
21.2.46,24.2.46,1
22.1.47,25.1.47,1
23.1.48,26.1.48,1
23.2.49,26.2.49,1
23.3.50,26.3.50,1
23.4.51,26.4.51,1
23.5.52,26.5.52,1
23.6.53,26.6.53,1
23.7.54,26.7.54,1
23.8.55,26.8.55,1
23.9.56,26.9.56,1
23.10.57,26.10.57,1
23.11.58,26.11.58,1
23.12.59,26.12.59,1
24.1.60,27.1.60,1
25.1.61,28.1.61,1
26.1.62,29.1.62,1
27.1.63,30.1.63,1
27.2.64,30.2.64,1
27.3.65,30.3.65,1
27.4.66,30.4.66,1
27.5.67,30.5.67,1
28.1.68,31.1.68,1
28.2.69,31.2.69,1
28.3.70,31.3.70,1
28.4.71,31.4.71,1
28.5.72,31.5.72,0.9965714
29.1.73,32.1.73,1
30.1.74,33.1.74,1
31.1.75,34.1.75,1
31.2.76,34.2.76,1
