_,1.1.1,0
1.1.1,_,0
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
6.1.6,6.1.6,1
6.2.7,6.2.7,1
6.3.8,6.3.8,1
6.4.9,6.4.9,1
6.5.10,6.5.10,1
6.6.11,6.6.11,1
6.7.12,6.7.12,1
6.8.13,6.8.13,1
6.9.14,6.9.14,1
6.10.15,6.10.15,1
6.11.16,6.11.16,1
6.12.17,6.12.17,1
7.1.18,7.1.18,1
7.2.19,7.2.19,1
7.3.20,7.3.20,1
7.4.21,7.4.21,1
7.5.22,7.5.22,1
7.6.23,7.6.23,1
8.1.24,8.1.24,1
8.2.25,8.2.25,1
8.3.26,8.3.26,1
8.4.27,8.4.27,1
8.5.28,8.5.28,1
9.1.29,9.1.29,1
10.1.30,10.1.30,1
11.1.31,11.1.31,1
11.2.32,11.2.32,1
11.3.33,11.3.33,1
12.1.34,12.1.34,1
12.2.35,12.2.35,1
12.3.36,12.3.36,1
12.4.37,12.4.37,1
12.5.38,12.5.38,1
12.6.39,12.6.39,1
13.1.40,13.1.40,1
13.2.41,13.2.41,1
13.3.42,13.3.42,1
14.1.43,14.1.43,1
14.2.44,14.2.44,1
14.3.45,14.3.45,1
14.4.46,14.4.46,1
14.5.47,14.5.47,1
14.6.48,14.6.48,1
14.7.49,14.7.49,1
14.8.50,14.8.50,1
14.9.51,14.9.51,1
14.10.52,14.10.52,1
14.11.53,14.11.53,1
14.12.54,14.12.54,1
14.13.55,14.13.55,1
14.14.56,14.14.56,1
14.15.57,14.15.57,1
14.16.58,14.16.58,1
14.17.59,14.17.59,1
14.18.60,14.18.60,1
14.19.61,14.19.61,1
14.20.62,14.20.62,1
14.21.63,14.21.63,1
15.1.64,15.1.64,1
15.2.65,15.2.65,1
15.3.66,15.3.66,1
