1.1.1,1.1.1,1
2.1.2,2.1.2,1
3.1.3,3.1.3,1
4.1.4,4.1.4,1
5.1.5,5.1.5,1
5.2.6,5.2.6,1
5.3.7,5.3.7,1
5.4.8,5.4.8,1
5.5.9,5.5.9,1
5.6.10,5.6.10,1
5.7.11,5.7.11,1
6.1.12,6.1.12,1
7.1.13,7.1.13,1
7.2.14,7.2.14,1
7.3.15,7.3.15,1
7.4.16,7.4.16,1
7.5.17,7.5.17,1
7.6.18,7.6.18,1
7.7.19,7.7.19,1
7.8.20,7.8.20,1
8.1.21,8.1.21,1
8.2.22,8.2.22,1
8.3.23,8.3.23,1
9.1.24,9.1.24,1
10.1.25,10.1.25,1
11.1.26,11.1.26,1
11.2.27,11.2.27,1
11.3.28,11.3.28,1
11.4.29,11.4.29,1
11.5.30,11.5.30,1
11.6.31,11.6.31,1
11.7.32,11.7.32,1
11.8.33,11.8.33,1
11.9.34,11.9.34,1
11.10.35,11.10.35,1
11.11.36,11.11.36,1
11.12.37,11.12.37,1
11.13.38,11.13.38,1
11.14.39,11.14.39,1
11.15.40,11.15.40,1
11.16.41,11.16.41,1
11.17.42,11.17.42,1
12.1.43,12.1.43,1
12.2.44,12.2.44,1
12.3.45,12.3.45,1
12.4.46,12.4.46,1
12.5.47,12.5.47,1
12.6.48,12.6.48,1
12.7.49,12.7.49,1
12.8.50,12.8.50,1
12.9.51,12.9.51,1
12.10.52,12.10.52,1
12.11.53,12.11.53,1
13.1.54,13.1.54,1
14.1.55,14.1.55,1
15.1.56,15.1.56,1
16.1.57,16.1.57,1
17.1.58,17.1.58,1
18.1.59,18.1.59,1
18.2.60,18.2.60,1
18.3.61,18.3.61,1
18.4.62,18.4.62,1
19.1.63,19.1.63,1
19.2.64,19.2.64,1
19.3.65,19.3.65,1
19.4.66,19.4.66,1
19.5.67,19.5.67,1
20.1.68,20.1.68,1
20.2.69,20.2.69,1
20.3.70,20.3.70,1
20.4.71,20.4.71,1
20.5.72,20.5.72,1
20.6.73,20.6.73,1
20.7.74,20.7.74,1
20.8.75,20.8.75,1
20.9.76,20.9.76,1
20.10.77,20.10.77,1
20.11.78,20.11.78,1
20.12.79,20.12.79,1
20.13.80,20.13.80,1
20.14.81,20.14.81,1
20.15.82,20.15.82,1
20.16.83,20.16.83,1
21.1.84,21.1.84,1
21.2.85,21.2.85,1
21.3.86,21.3.86,1
21.4.87,21.4.87,1
21.5.88,21.5.88,1
22.1.89,22.1.89,1
23.1.90,23.1.90,1
24.1.91,24.1.91,1
25.1.92,25.1.92,1
25.2.93,25.2.93,1
25.3.94,25.3.94,1
25.4.95,25.4.95,1
26.1.96,26.1.96,1
27.1.97,27.1.97,1
28.1.98,28.1.98,1
29.1.99,29.1.99,1
30.1.100,30.1.100,1
31.1.101,31.1.101,1
32.1.102,32.1.102,1
33.1.103,33.1.103,1
34.1.104,34.1.104,1
35.1.105,35.1.105,1
35.2.106,35.2.106,1
35.3.107,35.3.107,1
