_,1.1.1,0
1.1.1,_,0
1.2.2,_,0
1.3.3,_,0
1.4.4,_,0
1.5.5,_,0
2.1.6,2.1.2,1
3.1.7,3.1.3,1
4.1.8,4.1.4,1
5.1.9,5.1.5,1
6.1.10,6.1.6,1
6.2.11,6.2.7,1
6.3.12,6.3.8,1
6.4.13,6.4.9,1
6.5.14,6.5.10,1
6.6.15,6.6.11,1
6.7.16,6.7.12,1
6.8.17,6.8.13,1
6.9.18,6.9.14,1
7.1.19,7.1.15,1
7.2.20,7.2.16,1
7.3.21,7.3.17,1
7.4.22,7.4.18,1
7.5.23,7.5.19,1
7.6.24,7.6.20,1
8.1.25,8.1.21,1
9.1.26,9.1.22,1
9.2.27,9.2.23,1
9.3.28,9.3.24,1
9.4.29,9.4.25,1
9.5.30,9.5.26,1
9.6.31,9.6.27,1
9.7.32,9.7.28,1
9.8.33,9.8.29,1
9.9.34,9.9.30,1
9.10.35,9.10.31,1
9.11.36,9.11.32,1
10.1.37,10.1.33,1
10.2.38,10.2.34,1
10.3.39,10.3.35,1
11.1.40,11.1.36,1
12.1.41,12.1.37,1
13.1.42,13.1.38,1
14.1.43,14.1.39,1
15.1.44,15.1.40,1
15.2.45,15.2.41,1
16.1.46,16.1.42,1
17.1.47,17.1.43,1
18.1.48,18.1.44,1
19.1.49,19.1.45,1
19.2.50,19.2.46,1
20.1.51,20.1.47,1
21.1.52,21.1.48,1
21.2.53,21.2.49,1
22.1.54,22.1.50,1
23.1.55,23.1.51,1
24.1.56,24.1.52,1
24.2.57,24.2.53,1
24.3.58,24.3.54,1
